Overall Ranking,College Name,Outomes Ranking,Resources Ranking,Engagement Ranking,Environment Ranking,Average Net Price
256,Saint Anselm College,193,206,501-600,>600,"$31,492"
260,University of Hawai’i at Mānoa,501-600,119,401-500,63,"$15,479"
261,Hope College,297,193,155,>600,"$27,795"
261,Quinnipiac University,176,358,401-500,501-600,"$38,665"
261,Valparaiso University,337,260,27,501-600,"$23,099"
264,Bard College,401-500,71,>600,401-500,"$29,436"
264,Rollins College,401-500,157,401-500,359,"$35,522"
266,Manhattan College,187,401-500,>600,347,"$35,872"
266,The College of New Jersey,207,401-500,401-500,371,"$22,894"
266,New York Institute of Technology,401-500,165,>600,19,"$23,300"
269,Earlham College,>600,87,401-500,166,"$20,721"
270,Hampshire College,>600,111,111,280,"$34,521"
270,San Diego State University,128,>600,332,35,"$13,363"
270,The University of Tennessee-Knoxville,233,311,401-500,501-600,"$20,995"
273,Duquesne University,246,302,111,>600,"$30,540"
274,Hampden-Sydney College,391,97,401-500,>600,"$32,402"
275,Whittier College,501-600,140,>600,107,"$26,764"
276,"University of Nevada, Reno",291,401-500,314,252,"$16,230"
276,Rutgers University-Camden,334,311,>600,150,"$12,399"
276,University of South Florida (Tampa),207,>600,179,54,"$11,766"
279,Augustana College (Illinois),219,401-500,285,501-600,"$23,919"
279,James Madison University,108,>600,111,>600,"$16,154"
279,MCPHS University,171,401-500,>600,144,"$38,708"
282,Austin College,312,369,401-500,266,"$21,893"
283,"University of Maryland, Baltimore County",219,501-600,332,135,"$16,056"
283,University of Vermont,272,275,332,>600,"$19,815"
285,"Embry-Riddle Aeronautical University, Prescott",230,401-500,401-500,347,"$34,120"
285,Moravian College,280,294,>600,501-600,"$28,193"
287,Elizabethtown College,289,229,401-500,>600,"$28,361"
287,Iowa State University,225,501-600,49,401-500,"$13,949"
287,San Jose State University,142,>600,250,9,"$13,906"
287,Western New England University,366,206,314,>600,"$30,305"
291,Suffolk University,383,401-500,155,118,"$31,722"
292,CUNY Queens College,216,501-600,>600,44,"$4,739"
292,Oregon State University,267,401-500,250,252,"$19,205"
292,Pace University-New York,308,401-500,250,81,"$31,734"
295,Louisiana State University,171,501-600,371,401-500,"$19,224"
295,Siena College,202,325,>600,>600,"$27,904"
297,Illinois State University,269,401-500,199,501-600,"$19,227"
297,University of Washington-Bothell,110,>600,501-600,32,"$7,536"
299,Concordia College at Moorhead,342,227,76,>600,"$24,228"
299,Eastern Mennonite University,401-500,165,401-500,501-600,"$23,952"
299,SUNY College of Environmental Science and Forestry,327,177,>600,>600,"$18,166"
299,Wayne State University,501-600,213,250,107,"$13,287"
303,University of St Thomas (Minnesota),272,325,332,>600,"$31,470"
304,Xavier University,379,286,49,501-600,"$30,190"
305,University of Evansville,501-600,188,16,501-600,"$21,046"
305,John Carroll University,258,343,401-500,>600,"$26,488"
305,University of St Thomas (Texas),501-600,317,401-500,19,"$19,221"
308,Hanover College,344,200,401-500,>600,"$22,455"
308,Mount Saint Mary's University,401-500,393,401-500,100,"$28,910"
308,St John Fisher College,337,247,401-500,>600,"$27,628"
311,University of Central Florida,151,>600,155,118,"$15,341"
311,La Salle University,375,369,371,266,"$26,276"
311,University of Mississippi,297,387,285,401-500,"$14,259"
311,Rowan University,246,401-500,501-600,337,"$19,246"
